,nome,filtro,minucias,nfiq,nfiq2,qmap
149,f1311_06[TRUC].png.min,Trunc,8,2,16,2.735595703125
150,s1437_07.png.min,No Filter,139,3,37,1.497314453125
151,s1357_05[TZER].png.min,Thresh to Zero,65,5,12,2.763427734375
152,s1414_08.png.min,No Filter,149,3,19,1.883056640625
153,f1413_07.png.min,No Filter,135,2,39,1.91650390625
154,f1430_05.png.min,No Filter,116,3,33,1.442626953125
155,f1424_10[BINA].png.min,Binary,109,4,21,2.532470703125
156,s1352_08[TOZI].png.min,Thresh to Zero Invert,245,2,51,2.53515625
157,f1397_06[TOZI].png.min,Thresh to Zero Invert,358,5,4,3.003662109375
158,f1379_07[BINV].png.min,Binary Invert,85,2,28,2.1357421875
159,f1438_09[BINV].png.min,Binary Invert,69,3,37,1.564697265625
160,f1261_07[BINV].png.min,Binary Invert,58,3,28,2.779052734375
161,f1454_08[BINA].png.min,Binary,144,3,34,2.2353515625
162,f1328_01[TOZI].png.min,Thresh to Zero Invert,237,4,19,1.274658203125
163,s1408_03[TOZI].png.min,Thresh to Zero Invert,245,2,55,1.06884765625
164,s1451_06[BINV].png.min,Binary Invert,129,2,42,2.343017578125
165,f1314_02.png.min,No Filter,121,1,42,1.5517578125
166,s1357_05[BINV].png.min,Binary Invert,59,3,31,1.6015625
167,f1471_01[TZER].png.min,Thresh to Zero,110,3,28,2.130126953125
168,s1308_07.png.min,No Filter,126,2,52,2.598876953125
169,f1311_06[TOZI].png.min,Thresh to Zero Invert,59,1,56,1.679443359375
170,s1415_08[TZER].png.min,Thresh to Zero,1,3,47,1.784912109375
171,s1251_03[TOZI].png.min,Thresh to Zero Invert,267,3,30,2.60498046875
172,s1447_03[TZER].png.min,Thresh to Zero,114,1,56,1.52734375
173,s1339_04[BINA].png.min,Binary,51,3,44,2.966552734375
174,s1326_07[TZER].png.min,Thresh to Zero,77,5,1,1.795166015625
175,f1384_07[TOZI].png.min,Thresh to Zero Invert,133,3,41,0.447265625
176,s1346_05[BINA].png.min,Binary,14,2,31,2.85107421875
177,s1328_01[BINA].png.min,Binary,35,3,9,2.76513671875
178,f1340_01[TZER].png.min,Thresh to Zero,114,1,39,2.975830078125
179,s1472_08[BINA].png.min,Binary,98,2,54,1.490478515625
180,f1494_04[BINV].png.min,Binary Invert,29,3,26,1.507568359375
181,s1482_03[TRUC].png.min,Trunc,98,3,31,2.9619140625
182,s1380_02.png.min,No Filter,94,1,42,0.8876953125
183,f1379_07[BINA].png.min,Binary,66,3,8,0.904296875
184,s1416_06[TOZI].png.min,Thresh to Zero Invert,272,3,20,1.849365234375
185,s1485_05[TOZI].png.min,Thresh to Zero Invert,230,3,21,1.614013671875
186,f1290_10[TOZI].png.min,Thresh to Zero Invert,169,3,44,1.856201171875
187,f1466_09[BINV].png.min,Binary Invert,120,3,26,0.1826171875
188,f1303_10[BINV].png.min,Binary Invert,96,5,20,1.687744140625
189,s1274_04[TZER].png.min,Thresh to Zero,126,3,31,2.614013671875
190,f1411_05.png.min,No Filter,121,3,25,0.960693359375
191,s1424_10[BINA].png.min,Binary,64,5,17,0.56787109375
192,f1467_09[TZER].png.min,Thresh to Zero,129,2,40,2.50146484375
193,s1267_05[BINV].png.min,Binary Invert,77,2,30,0.771728515625
194,s1394_07[BINA].png.min,Binary,106,3,20,2.337158203125
195,f1342_03[BINV].png.min,Binary Invert,104,2,26,1.8505859375
196,f1494_04.png.min,No Filter,149,3,23,0.959716796875
197,f1350_03[TRUC].png.min,Trunc,72,2,47,2.912841796875
198,s1307_03[BINV].png.min,Binary Invert,71,3,14,1.566162109375
199,s1274_04.png.min,No Filter,117,5,10,0.4296875
200,f1464_10[TOZI].png.min,Thresh to Zero Invert,167,1,48,1.25927734375
201,f1347_09[BINV].png.min,Binary Invert,6,3,27,1.958251953125
202,f1380_02[TRUC].png.min,Trunc,118,5,4,0.81884765625
203,s1283_03[TRUC].png.min,Trunc,140,3,28,1.46728515625
204,s1388_08[TRUC].png.min,Trunc,81,2,39,0.158447265625
205,s1329_10[BINV].png.min,Binary Invert,39,3,19,2.710205078125
206,s1315_02[TRUC].png.min,Trunc,106,2,27,2.9609375
207,s1476_02[TRUC].png.min,Trunc,133,1,40,2.420654296875
208,f1354_07.png.min,No Filter,120,3,21,1.453369140625
209,f1300_08[BINA].png.min,Binary,102,1,47,2.662109375
210,s1302_02[TRUC].png.min,Trunc,118,1,30,2.818603515625
211,s1256_07.png.min,No Filter,83,3,45,2.69189453125
212,s1462_09.png.min,No Filter,182,2,41,1.723876953125
213,f1445_10[TOZI].png.min,Thresh to Zero Invert,186,3,18,2.093505859375
214,s1486_03[BINA].png.min,Binary,0,2,48,0.58447265625
215,f1359_03[TRUC].png.min,Trunc,112,2,32,1.010498046875
216,f1406_03[TZER].png.min,Thresh to Zero,120,2,33,3.000732421875
217,f1436_09[TZER].png.min,Thresh to Zero,67,2,13,2.861328125
218,s1320_10[TZER].png.min,Thresh to Zero,100,2,22,2.1201171875
219,s1437_07[TOZI].png.min,Thresh to Zero Invert,173,3,14,2.0078125
220,f1385_06[BINA].png.min,Binary,163,3,15,1.154052734375
221,f1337_02.png.min,No Filter,151,1,48,2.18505859375
222,f1419_05.png.min,No Filter,129,3,29,2.460205078125
223,f1322_09[TZER].png.min,Thresh to Zero,54,3,29,2.426513671875
224,f1396_07[BINA].png.min,Binary,0,3,37,3.085693359375
225,s1442_07[BINA].png.min,Binary,29,5,11,1.916748046875
226,f1364_05[TRUC].png.min,Trunc,114,3,16,2.5703125
227,f1404_09[TZER].png.min,Thresh to Zero,91,1,45,0.38232421875
228,s1266_08[TZER].png.min,Thresh to Zero,94,4,19,0.37353515625
229,s1382_08.png.min,No Filter,120,3,20,1.620849609375
230,f1442_07.png.min,No Filter,177,4,11,1.271728515625
231,f1304_06.png.min,No Filter,95,3,14,0.673583984375
232,s1353_07[TZER].png.min,Thresh to Zero,190,5,14,0.381103515625
233,f1342_03[TRUC].png.min,Trunc,52,2,34,2.517822265625
