,nome,filtro,minucias,nfiq,nfiq2
186,f0495_05[BINV].png.min,Binary Invert,68,5,15
187,f0435_10[TZER].png.min,Thresh to Zero,42,5,5
188,f0357_07.png.min,No Filter,175,5,4
189,s0263_05[BINA].png.min,Binary,52,3,15
190,f0370_02[BINV].png.min,Binary Invert,42,3,23
191,s0286_02[TOZI].png.min,Thresh to Zero Invert,278,3,35
192,f0497_05[BINA].png.min,Binary,76,4,12
193,s0410_06[TRUC].png.min,Trunc,138,2,20
194,f0350_07[BINV].png.min,Binary Invert,104,1,44
195,f0285_08[BINV].png.min,Binary Invert,10,2,46
196,s0488_10[TOZI].png.min,Thresh to Zero Invert,166,5,11
197,f0344_06[TRUC].png.min,Trunc,120,2,24
198,f0372_07[BINV].png.min,Binary Invert,92,3,17
199,s0387_04.png.min,No Filter,159,5,20
200,f0411_05[TRUC].png.min,Trunc,90,5,14
201,s0391_01[BINA].png.min,Binary,90,3,18
202,s0365_07[BINA].png.min,Binary,87,3,23
203,s0477_04.png.min,No Filter,109,3,14
204,s0336_02.png.min,No Filter,139,2,41
205,s0470_01[TRUC].png.min,Trunc,118,2,48
206,f0299_06[TZER].png.min,Thresh to Zero,142,5,14
207,s0471_01[TOZI].png.min,Thresh to Zero Invert,290,3,29
208,f0344_06[TZER].png.min,Thresh to Zero,52,2,20
209,s0424_03[BINV].png.min,Binary Invert,61,5,24
210,s0382_01[TRUC].png.min,Trunc,43,3,38
211,s0483_01[TRUC].png.min,Trunc,5,2,20
212,s0447_01[TRUC].png.min,Trunc,112,3,48
213,f0488_10[TOZI].png.min,Thresh to Zero Invert,94,2,44
214,s0253_08[BINA].png.min,Binary,76,4,23
215,f0445_01[TRUC].png.min,Trunc,106,4,25
216,s0313_08[BINV].png.min,Binary Invert,65,3,46
217,s0387_04[TRUC].png.min,Trunc,186,2,56
218,s0359_03[BINA].png.min,Binary,77,3,32
219,f0385_07[TZER].png.min,Thresh to Zero,119,2,44
220,s0349_09[TOZI].png.min,Thresh to Zero Invert,198,3,19
221,s0348_08[TRUC].png.min,Trunc,133,5,10
222,s0444_03[TZER].png.min,Thresh to Zero,81,2,44
223,f0404_08[TOZI].png.min,Thresh to Zero Invert,230,5,3
224,s0395_08[TZER].png.min,Thresh to Zero,35,2,39
225,f0263_05.png.min,No Filter,110,2,39
226,s0493_01[TRUC].png.min,Trunc,130,2,13
227,f0423_02.png.min,No Filter,143,2,49
228,s0462_05[TOZI].png.min,Thresh to Zero Invert,209,2,39
229,f0352_09[TOZI].png.min,Thresh to Zero Invert,248,5,24
230,f0308_09[TZER].png.min,Thresh to Zero,34,2,51
231,s0318_05[TZER].png.min,Thresh to Zero,43,2,31
232,f0312_08[BINA].png.min,Binary,150,1,49
233,s0297_01.png.min,No Filter,213,1,43
234,s0452_06[TRUC].png.min,Trunc,58,2,45
235,f0456_06[TRUC].png.min,Trunc,13,3,50
236,f0268_09[TRUC].png.min,Trunc,126,3,19
237,f0466_10[TZER].png.min,Thresh to Zero,32,2,50
238,s0437_04[BINV].png.min,Binary Invert,100,3,29
239,s0482_08[TZER].png.min,Thresh to Zero,98,2,50
240,s0310_05.png.min,No Filter,144,1,51
241,s0342_10[TZER].png.min,Thresh to Zero,81,2,28
242,f0432_06[BINV].png.min,Binary Invert,135,2,23
243,s0468_02[TRUC].png.min,Trunc,137,2,44
244,s0298_06[TOZI].png.min,Thresh to Zero Invert,256,3,16
245,f0342_10[BINA].png.min,Binary,41,4,24
246,s0448_03[BINV].png.min,Binary Invert,68,3,39
247,s0282_03[BINV].png.min,Binary Invert,101,5,16
248,f0475_03[BINV].png.min,Binary Invert,70,2,47
249,f0258_04[TOZI].png.min,Thresh to Zero Invert,208,1,46
250,f0419_08[TZER].png.min,Thresh to Zero,93,4,25
251,s0410_06.png.min,No Filter,135,2,53
252,s0481_07[BINV].png.min,Binary Invert,84,1,57
253,s0450_10.png.min,No Filter,122,3,15
254,s0257_07[TOZI].png.min,Thresh to Zero Invert,261,2,46
255,s0469_07[BINA].png.min,Binary,67,4,18
256,f0464_06.png.min,No Filter,139,1,10
257,s0352_09[TZER].png.min,Thresh to Zero,21,4,12
258,s0262_05[TOZI].png.min,Thresh to Zero Invert,179,1,40
259,s0459_05[BINV].png.min,Binary Invert,50,1,49
260,f0310_05[BINV].png.min,Binary Invert,8,4,22
261,s0329_09[BINV].png.min,Binary Invert,70,2,34
262,f0374_04.png.min,No Filter,78,2,39
263,s0324_04[TZER].png.min,Thresh to Zero,129,1,63
264,s0362_05[TRUC].png.min,Trunc,121,1,45
265,f0330_08[BINA].png.min,Binary,128,3,16
266,f0500_02[TZER].png.min,Thresh to Zero,36,4,14
267,s0311_03[BINV].png.min,Binary Invert,122,2,44
268,f0391_01[BINV].png.min,Binary Invert,110,1,33
269,f0497_05[TOZI].png.min,Thresh to Zero Invert,230,5,4
270,f0319_06[TOZI].png.min,Thresh to Zero Invert,242,3,24
271,s0387_04[TZER].png.min,Thresh to Zero,134,3,18
272,s0282_03[TOZI].png.min,Thresh to Zero Invert,101,2,45
273,f0334_02[TZER].png.min,Thresh to Zero,65,3,44
274,s0370_02[TRUC].png.min,Trunc,145,3,43
275,f0325_06[TRUC].png.min,Trunc,92,4,16
276,f0274_05.png.min,No Filter,141,1,53
277,f0420_09[BINV].png.min,Binary Invert,130,2,26
278,s0340_03[BINV].png.min,Binary Invert,141,1,49
279,f0442_04[BINA].png.min,Binary,131,2,42
280,f0328_09[BINA].png.min,Binary,11,2,25
281,f0422_07[BINV].png.min,Binary Invert,118,3,32
282,f0258_04[BINV].png.min,Binary Invert,103,3,21
